code,formal_name,formal_name_fr
"8000001","levothyroxine","lévothyroxine"
"8000003","epinephrine","épinéphrine"
"8000004","phenytoin sodium","phénytoïne sodique"
"8000005","phenytoin (base)","phénytoïne (base)"
"8000006","testosterone","testostérone"
"8000008","hydrocortisone","hydrocortisone"
"8000009","hydroxyzine","hydroxyzine"
"8000010","methylphenidate","méthylphénidate"
"8000012","hydroxychloroquine","hydroxychloroquine"
"8000013","warfarin","warfarine"
"8000014","prednisone","prednisone"
"8000015","spironolactone","spironolactone"
"8000018","medroxyprogesterone","médroxyprogestérone"
"8000020","norethindrone","noréthindrone"
"8000021","conjugated estrogens","oestrogènes conjugués"
"8000023","acetaminophen and caffeine and codeine","acétaminophène et caféine et codéine"
"8000024","amitriptyline","amitriptyline"
"8000026","nortriptyline","nortriptyline"
"8000027","azathioprine","azathioprine"
"8000028","dexamethasone (base)","dexaméthasone (base)"
"8000029","quinine sulfate","sulfate de quinine"
"8000030","triamcinolone acetonide","acétonide de triamcinolone"
"8000031","hydrochlorothiazide","hydrochlorothiazide"
"8000032","carbamazepine","carbamazépine"
"8000036","clindamycin","clindamycine"
"8000037","erythromycin","érythromycine"
"8000038","metronidazole","métronidazole"
"8000040","cephalexin","céphalexine"
"8000041","lithium carbonate","carbonate de lithium"
"8000043","ibuprofen","ibuprofène"
"8000044","nitroglycerin","nitroglycérine"
"8000045","oxycodone","oxycodone"
"8000046","allopurinol","allopurinol"
"8000047","colchicine","colchicine"
"8000048","diazepam","diazépam"
"8000049","ethinyl estradiol and norethindrone","éthinylestradiol et noréthindrone"
"8000050","nitrofurantoin","nitrofurantoïne"
"8000051","prednisolone","prednisolone"
"8000053","betamethasone (base)","bétaméthasone (base)"
"8000054","carbidopa and levodopa","carbidopa et lévodopa"
"8000055","folic acid","acide folique"
"8000057","furosemide","furosémide"
"8000059","acetaminophen and oxycodone","acétaminophène et oxycodone"
"8000061","clonazepam","clonazépam"
"8000063","metoprolol","métoprolol"
"8000064","penicillin V","pénicilline V"
"8000065","acetaminophen and codeine","acétaminophène et codéine"
"8000066","baclofen","baclofène"
"8000067","benztropine","benztropine"
"8000069","codeine","codéine"
"8000071","morphine","morphine"
"8000072","valproic acid (valproate)","acide valproïque (valproate)"
"8000073","amoxicillin","amoxicilline"
"8000075","calcitriol","calcitriol"
"8000078","nystatin","nystatine"
"8000079","oxazepam","oxazépam"
"8000080","sulfamethoxazole and trimethoprim","sulfaméthoxazole et triméthoprime"
"8000081","timolol","timolol"
"8000082","diclofenac","diclofénac"
"8000084","haloperidol","halopéridol"
"8000085","indomethacin","indométhacine"
"8000086","propranolol","propranolol"
"8000087","temazepam","témazépam"
"8000088","alprazolam","alprazolam"
"8000090","bromazepam","bromazépam"
"8000091","flurazepam","flurazépam"
"8000092","hydrochlorothiazide and triamterene","hydrochlorothiazide et triamtérène"
"8000095","acyclovir","acyclovir"
"8000097","indapamide","indapamide"
"8000104","fusidic acid","acide fusidique"
"8000106","hydromorphone","hydromorphone"
"8000107","procyclidine","procyclidine"
"8000108","valproic acid (divalproex)","acide valproïque (divalproex)"
"8000109","lorazepam","lorazépam"
"8000110","acebutolol","acébutolol"
"8000114","dexamethasone phosphate","phosphate de dexaméthasone"
"8000115","glyburide","glyburide"
"8000117","doxycycline","doxycycline"
"8000118","enalapril","énalapril"
"8000119","ethinyl estradiol and levonorgestrel","éthinylestradiol et lévonorgestrel"
"8000120","ranitidine","ranitidine"
"8000121","atenolol","aténolol"
"8000122","diltiazem","diltiazem"
"8000123","nifedipine","nifédipine"
"8000124","verapamil","vérapamil"
"8000127","fentanyl","fentanyl"
"8000128","fluoxetine","fluoxétine"
"8000130","metoclopramide","métoclopramide"
"8000131","omeprazole","oméprazole"
"8000132","salbutamol","salbutamol"
"8000134","budesonide","budésonide"
"8000135","clonidine","clonidine"
"8000137","dexamethasone sodium phosphate","phosphate de dexaméthasone sodique"
"8000139","gliclazide","gliclazide"
"8000140","lisinopril","lisinopril"
"8000141","pravastatin","pravastatine"
"8000142","simvastatin","simvastatine"
"8000143","zopiclone","zopiclone"
"8000147","clozapine","clozapine"
"8000148","mometasone","mométasone"
"8000153","amlodipine","amlodipine"
"8000154","amoxicillin and clavulanic acid","amoxicilline et acide clavulanique"
"8000159","ciprofloxacin","ciprofloxacine"
"8000160","clarithromycin","clarithromycine"
"8000161","clobetasol","clobétasol"
"8000162","dextroamphetamine","dextroamphétamine"
"8000163","doxazosin","doxazosine"
"8000164","ethinyl estradiol and norgestimate","éthinylestradiol et norgestimate"
"8000165","felodipine","félodipine"
"8000166","finasteride","finastéride"
"8000168","insulin isophane human","insuline isophane humaine"
"8000169","ketorolac","kétorolac"
"8000170","quinapril","quinapril"
"8000171","sertraline","sertraline"
"8000173","fluticasone","fluticasone"
"8000179","desogestrel and ethinyl estradiol","désogestrel et éthinylestradiol"
"8000180","diclofenac and misoprostol","diclofénac et misoprostol"
"8000181","domperidone","dompéridone"
"8000183","mesalazine","mésalazine"
"8000184","metformin","metformine"
"8000185","paroxetine","paroxétine"
"8000187","risperidone","rispéridone"
"8000188","terbinafine","terbinafine"
"8000189","trazodone","trazodone"
"8000196","cyclobenzaprine","cyclobenzaprine"
"8000198","digoxin","digoxine"
"8000200","gabapentin","gabapentine"
"8000201","hydrochlorothiazide and lisinopril","hydrochlorothiazide et lisinopril"
"8000202","ipratropium","ipratropium"
"8000203","isosorbide mononitrate","mononitrate d'isosorbide"
"8000204","lithium (ion)","lithium (ion)"
"8000205","minocycline","minocycline"
"8000206","perindopril","périndopril"
"8000208","beclomethasone","béclométhasone"
"8000210","cefprozil","cefprozil"
"8000213","estradiol","estradiol"
"8000214","lamotrigine","lamotrigine"
"8000215","lansoprazole","lansoprazole"
"8000216","losartan","losartan"
"8000217","methotrexate","méthotrexate"
"8000218","naproxen","naproxène"
"8000219","oxybutynin","oxybutynine"
"8000220","progesterone","progestérone"
"8000222","tacrolimus","tacrolimus"
"8000224","azithromycin","azithromycine"
"8000225","fenofibrate","fénofibrate"
"8000226","olanzapine","olanzapine"
"8000811","docusate and sennosides","docusate et sennosides"
"8000229","hydrochlorothiazide and losartan","hydrochlorothiazide et losartan"
"8000230","ciclopirox","ciclopirox"
"8000233","valacyclovir","valaciclovir"
"8000234","sumatriptan","sumatriptan"
"8000235","atorvastatin","atorvastatine"
"8000236","pantoprazole","pantoprazole"
"8000237","cetirizine","cétirizine"
"8000238","clobazam","clobazam"
"8000239","ramipril","ramipril"
"8000240","topiramate","topiramate"
"8000244","latanoprost","latanoprost"
"8000246","donepezil","donépézil"
"8000247","terazosin","térazosine"
"8000248","quetiapine","quétiapine"
"8000249","valsartan","valsartan"
